client_id,account_id,genero,idade,nome_distrito,regiao,salario_medio_distrito,taxa_desemprego_96,frequency,saldo_medio,num_transacoes,volume_movimentado,emprestimo_ativo,valor_emprestimo,num_cartoes
1,1,F,29,Pisek,south Bohemia,8968,3.35,POPLATEK MESICNE,15994.07949790795,239,375192,0,0.0,0
2,2,M,54,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,36540.780334728035,478,3151514,0,80952.0,0
4,3,M,43,Kolin,central Bohemia,9307,4.43,POPLATEK MESICNE,26973.529914529914,117,295030,0,0.0,0
6,4,M,80,Pribram,central Bohemia,8754,4.31,POPLATEK MESICNE,21753.52688172043,186,350986,0,0.0,0
7,5,M,70,Cesky Krumlov,south Bohemia,9045,3.6,POPLATEK MESICNE,25090.02380952381,84,166891,0,0.0,0
8,6,F,61,Trutnov,east Bohemia,8541,2.97,POPLATEK MESICNE,34547.35365853659,246,647584,0,0.0,0
9,7,M,64,Prostejov,south Moravia,8441,4.48,POPLATEK MESICNE,62598.6,130,1192047,0,0.0,1
10,8,M,56,Hodonin,south Moravia,8720,4.5,POPLATEK MESICNE,46819.42913385827,254,1712923,0,0.0,0
12,9,M,18,Teplice,north Bohemia,9317,7.07,POPLATEK MESICNE,26625.307479224375,361,696458,0,0.0,0
13,10,F,25,Brno - mesto,south Moravia,9897,1.96,POPLATEK MESICNE,47792.21153846154,156,1040615,0,0.0,0
14,11,F,57,Sumperk,north Moravia,8369,5.88,POPLATEK MESICNE,27834.63440860215,186,258116,0,0.0,0
15,12,F,81,Tabor,south Bohemia,9104,2.07,POPLATEK MESICNE,20142.69811320755,106,216758,0,0.0,0
17,13,M,65,Sumperk,north Moravia,8369,5.88,POPLATEK MESICNE,15120.546666666667,75,208219,0,0.0,0
19,14,M,57,Pardubice,east Bohemia,9538,1.81,POPLATEK MESICNE,39603.73387096774,124,785868,0,0.0,1
20,15,M,20,Nachod,east Bohemia,8369,2.31,POPLATEK MESICNE,38645.30136986302,365,2329599,0,0.0,0
21,16,F,47,Pribram,central Bohemia,8754,4.31,POPLATEK MESICNE,29600.766666666666,60,661407,0,0.0,0
22,17,F,30,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,50791.648148148146,54,413048,0,0.0,0
24,18,F,60,Hradec Kralove,east Bohemia,9425,2.5,POPLATEK TYDNE,52267.48170731707,328,3728704,0,0.0,0
25,19,F,60,Tabor,south Bohemia,9104,2.07,POPLATEK MESICNE,16253.069306930693,303,1575532,0,30276.0,0
26,20,F,30,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,15604.120689655172,116,154761,0,0.0,0
27,21,F,33,Brno - mesto,south Moravia,9897,1.96,POPLATEK MESICNE,35286.290322580644,62,298438,0,0.0,0
28,22,M,54,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,40694.506451612906,310,2099490,0,0.0,0
29,23,F,48,Sokolov,west Bohemia,9650,3.67,POPLATEK MESICNE,52316.197297297294,370,3195889,0,0.0,0
30,24,F,42,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,27687.621428571427,140,688143,0,0.0,0
31,25,M,37,Frydek - Mistek,north Moravia,9893,4.72,POPLATEK MESICNE,56279.23722627737,274,2958556,0,30276.0,0
32,26,M,19,Usti nad Orlici,east Bohemia,8363,3.49,POPLATEK MESICNE,32862.65811965812,351,3471064,0,0.0,0
33,27,F,51,Opava,north Moravia,8746,3.74,POPLATEK MESICNE,22750.397727272728,352,1204982,0,0.0,0
36,29,F,21,Melnik,central Bohemia,9920,2.87,POPLATEK MESICNE,32130.41144414169,367,1885951,0,0.0,0
38,30,F,26,Liberec,north Bohemia,9198,4.28,POPLATEK MESICNE,56750.23487544484,281,4561821,0,0.0,0
39,31,M,31,Frydek - Mistek,north Moravia,9893,4.72,POPLATEK MESICNE,57445.58746736292,383,5807700,0,0.0,0
40,32,F,42,Kolin,central Bohemia,9307,4.43,POPLATEK MESICNE,55656.96666666667,180,1378959,0,0.0,0
41,33,M,31,Domazlice,west Bohemia,8620,1.25,POPLATEK MESICNE,72337.56104651163,344,3232014,0,0.0,1
42,34,M,64,Frydek - Mistek,north Moravia,9893,4.72,POPLATEK TYDNE,53975.894865525675,409,4342634,0,0.0,1
43,35,M,79,Prerov,north Moravia,8819,5.66,POPLATEK MESICNE,19932.31926121372,379,697993,0,0.0,0
44,36,F,22,Louny,north Bohemia,8965,8.23,POPLATEK MESICNE,44958.030927835054,388,2793033,0,0.0,0
45,37,M,47,Strakonice,south Bohemia,8547,3.64,POPLATEK MESICNE,37547.484615384616,130,948159,1,318480.0,0
46,38,F,59,Prachatice,south Bohemia,8402,3.98,POPLATEK TYDNE,34462.38461538462,130,571952,1,110736.0,0
47,39,M,65,Sumperk,north Moravia,8369,5.88,POPLATEK MESICNE,24918.152882205515,399,813566,0,0.0,0
48,40,M,59,Jindrichuv Hradec,south Bohemia,8427,1.54,POPLATEK MESICNE,23698.26775956284,366,906138,0,0.0,0
49,41,F,40,Olomouc,north Moravia,8994,4.79,POPLATEK MESICNE,58751.80281690141,71,555123,0,0.0,0
50,42,F,21,Most,north Bohemia,10446,9.4,POPLATEK MESICNE,29084.141414141413,198,595006,0,0.0,0
51,43,F,20,Liberec,north Bohemia,9198,4.28,POPLATEK MESICNE,60897.218068535825,321,2841707,0,0.0,1
52,44,M,75,Ceska Lipa,north Bohemia,9272,3.22,POPLATEK MESICNE,19124.759493670885,316,549441,0,0.0,0
53,45,M,22,Zlin,south Moravia,9624,2.31,POPLATEK MESICNE,27239.797101449276,69,133404,0,0.0,0
55,47,F,51,Jicin,east Bohemia,8390,2.89,POPLATEK MESICNE,45139.157522123896,565,4933924,0,0.0,0
56,48,M,39,Tabor,south Bohemia,9104,2.07,POPLATEK MESICNE,49740.437086092716,151,1197231,0,0.0,1
58,49,F,72,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,15599.064516129032,93,183169,0,0.0,0
59,50,M,42,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,37433.424403183024,377,1916928,0,0.0,0
60,51,M,19,Bruntal,north Moravia,8110,6.55,POPLATEK MESICNE,59944.59375,192,1322354,0,0.0,1
61,52,F,51,Jindrichuv Hradec,south Bohemia,8427,1.54,POPLATEK MESICNE,39730.82638888889,144,1264713,0,0.0,0
62,53,M,67,Vsetin,north Moravia,8909,5.56,POPLATEK MESICNE,18613.86802030457,197,360136,0,0.0,0
63,54,M,40,Kladno,central Bohemia,9753,5.05,POPLATEK MESICNE,18798.22857142857,210,282795,0,0.0,0
