client_id,account_id,genero,idade,nome_distrito,regiao,salario_medio_distrito,taxa_desemprego_96,frequency,saldo_medio,num_transacoes,volume_movimentado,emprestimo_ativo,valor_emprestimo,num_cartoes,status,risco,probabilidade_risco
4918,4081,M,31,Praha - zapad,central Bohemia,9622,0.59,POPLATEK MESICNE,10176.706976744186,215,1078108,0,137904.0,0,B,1,0.9
11327,9199,M,52,Olomouc,north Moravia,8994,4.79,POPLATEK MESICNE,13411.633484162896,221,1030630,0,29448.0,0,B,1,0.86
2823,2335,F,53,Karvina,north Moravia,10177,7.75,POPLATEK MESICNE,6690.547112462006,329,1033923,1,541200.0,0,D,1,0.85
25,19,F,60,Tabor,south Bohemia,9104,2.07,POPLATEK MESICNE,16253.069306930693,303,1575532,0,30276.0,0,B,1,0.85
9675,7824,F,29,Prostejov,south Moravia,8441,4.48,POPLATEK MESICNE,36164.18879056048,339,3405704,0,189696.0,0,B,1,0.82
12859,10451,F,23,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,19822.57357859532,598,2244882,1,482940.0,0,D,1,0.81
424,347,M,52,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,43980.70448548813,379,3945724,0,187224.0,0,B,1,0.81
512,426,F,34,Prostejov,south Moravia,8441,4.48,POPLATEK MESICNE,34002.15990990991,444,3107455,1,252060.0,0,D,1,0.8
2635,2176,F,33,Bruntal,north Moravia,8110,6.55,POPLATEK MESICNE,34860.12951167728,471,4076300,0,299088.0,0,B,1,0.78
7980,6609,M,23,Jindrichuv Hradec,south Bohemia,8427,1.54,POPLATEK MESICNE,38553.81850533808,281,2248914,0,60156.0,0,B,1,0.78
9196,7418,F,60,Tabor,south Bohemia,9104,2.07,POPLATEK MESICNE,16124.055702917773,377,1574936,0,30276.0,0,B,1,0.78
3962,3273,M,47,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,34594.553846153845,260,3915498,0,94512.0,0,B,1,0.77
2166,1787,F,52,Sokolov,west Bohemia,9650,3.67,POPLATEK TYDNE,44264.57320099256,403,4108893,0,96396.0,0,B,1,0.76
5788,4794,M,37,Olomouc,north Moravia,8994,4.79,POPLATEK MESICNE,18703.736040609136,197,884761,1,465504.0,0,D,1,0.76
11105,9017,F,42,Karvina,north Moravia,10177,7.75,POPLATEK MESICNE,15865.943820224718,267,1018345,1,100224.0,0,D,1,0.76
6567,5442,F,21,Kolin,central Bohemia,9307,4.43,POPLATEK MESICNE,30542.00566037736,530,4338775,0,174744.0,1,B,1,0.76
6895,5700,M,28,Havlickuv Brod,east Bohemia,8388,2.94,POPLATEK MESICNE,21089.54366197183,355,1451909,1,103680.0,0,D,1,0.75
1327,1106,F,36,Strakonice,south Bohemia,8547,3.64,POPLATEK TYDNE,37400.72823218998,379,3544932,0,192552.0,0,B,1,0.75
12756,10365,F,50,Domazlice,west Bohemia,8620,1.25,POPLATEK MESICNE,48178.88352272727,352,3136576,1,260640.0,0,D,1,0.75
10566,8566,F,57,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,32238.699115044248,452,3063544,0,230220.0,0,B,1,0.74
6115,5066,F,46,Rakovnik,central Bohemia,8598,3.26,POPLATEK TYDNE,43681.72672672672,333,2387814,0,61656.0,0,B,1,0.74
7166,5927,M,35,Cesky Krumlov,south Bohemia,9045,3.6,POPLATEK MESICNE,17821.677290836655,502,1919824,0,87216.0,0,B,1,0.74
5384,4462,M,64,Opava,north Moravia,8746,3.74,POPLATEK TYDNE,31561.55276381909,199,1940836,0,66480.0,0,B,1,0.73
3670,3037,F,19,Chrudim,east Bohemia,8254,3.76,POPLATEK MESICNE,33307.33828996283,269,2323581,1,277884.0,0,D,1,0.73
2422,1993,F,23,Frydek - Mistek,north Moravia,9893,4.72,POPLATEK MESICNE,33456.97530864197,243,2170219,0,68400.0,0,B,1,0.73
7348,6083,F,22,Kutna Hora,central Bohemia,8546,4.02,POPLATEK TYDNE,44139.00909090909,220,2500616,1,360864.0,0,D,1,0.73
4433,3678,M,31,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,9629.374396135268,414,1600825,1,316140.0,0,D,1,0.72
6551,5428,F,51,Karlovy Vary,west Bohemia,8991,2.01,POPLATEK MESICNE,45002.30131004367,458,4661974,0,174744.0,0,B,1,0.71
7727,6400,F,41,Tachov,west Bohemia,8930,4.2,POPLATEK PO OBRATU,40908.19163763066,287,2053496,0,72408.0,0,B,1,0.71
